trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Cult of Personality,Living Colour,2776745,funk metal,0.504,0.918,0.0,-3.463,1.0,0.0517,0.00164,2.12e-05,0.78,0.539,92.031,audio_features,5e3YOg6fIkP0wD5TyxcHOH,spotify:track:5e3YOg6fIkP0wD5TyxcHOH,https://api.spotify.com/v1/tracks/5e3YOg6fIkP0wD5TyxcHOH,https://api.spotify.com/v1/audio-analysis/5e3YOg6fIkP0wD5TyxcHOH,294827.0,4.0
Cumberland Gap,David Rawlings,396909,new england americana,0.594,0.601,0.0,-8.532,1.0,0.0391,0.18,0.000539,0.106,0.524,155.583,audio_features,4rG7GtTipquzXDBHUcJQw1,spotify:track:4rG7GtTipquzXDBHUcJQw1,https://api.spotify.com/v1/tracks/4rG7GtTipquzXDBHUcJQw1,https://api.spotify.com/v1/audio-analysis/4rG7GtTipquzXDBHUcJQw1,175973.0,4.0
Cupcake Cake,Mike Shinoda,10414,alternative hip hop,0.655,0.689,5.0,-4.576,0.0,0.0413,0.223,0.524,0.245,0.35,78.974,audio_features,4u1OCDpp7ZY65pEH59MKZj,spotify:track:4u1OCDpp7ZY65pEH59MKZj,https://api.spotify.com/v1/tracks/4u1OCDpp7ZY65pEH59MKZj,https://api.spotify.com/v1/audio-analysis/4u1OCDpp7ZY65pEH59MKZj,195970.0,4.0
Cure For Me,AURORA,6625520,art pop,0.726,0.738,6.0,-6.589,0.0,0.0602,0.102,2.17e-05,0.0882,0.414,115.904,audio_features,33WTgxRdPBQQpVCMXpNxhO,spotify:track:33WTgxRdPBQQpVCMXpNxhO,https://api.spotify.com/v1/tracks/33WTgxRdPBQQpVCMXpNxhO,https://api.spotify.com/v1/audio-analysis/33WTgxRdPBQQpVCMXpNxhO,201640.0,4.0
Curious Shadows,Obie Hans,168020,lo-fi jazzhop,0.768,0.27,7.0,-17.331,1.0,0.0743,0.725,0.931,0.11,0.285,160.062,audio_features,2afipVQcYOHwXFxrQdoCZW,spotify:track:2afipVQcYOHwXFxrQdoCZW,https://api.spotify.com/v1/tracks/2afipVQcYOHwXFxrQdoCZW,https://api.spotify.com/v1/audio-analysis/2afipVQcYOHwXFxrQdoCZW,168020.0,4.0
Curl up & Die,Matt Maltese,683172,indie anthem-folk,0.615,0.281,11.0,-8.468,1.0,0.0273,0.874,0.537,0.108,0.233,131.979,audio_features,0mDn9q0XZBVI3xICivkTY1,spotify:track:0mDn9q0XZBVI3xICivkTY1,https://api.spotify.com/v1/tracks/0mDn9q0XZBVI3xICivkTY1,https://api.spotify.com/v1/audio-analysis/0mDn9q0XZBVI3xICivkTY1,202022.0,3.0
Cursive,Billie Marten,1275711,british singer-songwriter,0.494,0.267,0.0,-11.54,1.0,0.0308,0.935,5.58e-05,0.128,0.166,115.117,audio_features,5Iy1wdO0tMaHwKnfFYtlel,spotify:track:5Iy1wdO0tMaHwKnfFYtlel,https://api.spotify.com/v1/tracks/5Iy1wdO0tMaHwKnfFYtlel,https://api.spotify.com/v1/audio-analysis/5Iy1wdO0tMaHwKnfFYtlel,240400.0,3.0
Cut My Lip,Twenty One Pilots,283340,modern rock,0.641,0.561,4.0,-5.856,1.0,0.0355,0.12,0.0021,0.358,0.678,111.938,audio_features,6gFtgkh8ShkrJn52Cbdhxy,spotify:track:6gFtgkh8ShkrJn52Cbdhxy,https://api.spotify.com/v1/tracks/6gFtgkh8ShkrJn52Cbdhxy,https://api.spotify.com/v1/audio-analysis/6gFtgkh8ShkrJn52Cbdhxy,282613.0,4.0
Cứ Chill Thôi,Chillies,50814,indie viet,0.781,0.608,8.0,-8.452,1.0,0.0408,0.217,3.63e-05,0.158,0.609,101.017,audio_features,014DA3BdnmD3kI5pBogH7c,spotify:track:014DA3BdnmD3kI5pBogH7c,https://api.spotify.com/v1/tracks/014DA3BdnmD3kI5pBogH7c,https://api.spotify.com/v1/audio-analysis/014DA3BdnmD3kI5pBogH7c,270000.0,4.0
DAEDALUS,Phonk Killer,125479,drift phonk,0.916,0.702,0.0,-4.78,1.0,0.0362,0.00567,0.271,0.13,0.842,126.066,audio_features,5OA0Crr2O5sf4vaj7WpNup,spotify:track:5OA0Crr2O5sf4vaj7WpNup,https://api.spotify.com/v1/tracks/5OA0Crr2O5sf4vaj7WpNup,https://api.spotify.com/v1/audio-analysis/5OA0Crr2O5sf4vaj7WpNup,125719.0,4.0
DAMAGE,SHADXWBXRN,282867,drift phonk,0.666,0.958,0.0,-3.602,1.0,0.0455,0.273,0.931,0.0993,0.909,121.993,audio_features,2YSm6BI1oDJwBayq3ey1QG,spotify:track:2YSm6BI1oDJwBayq3ey1QG,https://api.spotify.com/v1/tracks/2YSm6BI1oDJwBayq3ey1QG,https://api.spotify.com/v1/audio-analysis/2YSm6BI1oDJwBayq3ey1QG,141639.0,4.0
DARK LADY,KUTE,143467,aggressive phonk,0.613,0.975,1.0,-2.704,1.0,0.0871,0.00173,0.0294,0.101,0.424,124.071,audio_features,15kFp3rOPgHSogMHLon1bC,spotify:track:15kFp3rOPgHSogMHLon1bC,https://api.spotify.com/v1/tracks/15kFp3rOPgHSogMHLon1bC,https://api.spotify.com/v1/audio-analysis/15kFp3rOPgHSogMHLon1bC,143468.0,4.0
DEAD TO ME,blackbear,179940,pop,0.709,0.725,7.0,-5.545,0.0,0.0759,0.0772,0.0,0.158,0.226,139.968,audio_features,4C8yVZNQ6DWv2IA9dm4yeY,spotify:track:4C8yVZNQ6DWv2IA9dm4yeY,https://api.spotify.com/v1/tracks/4C8yVZNQ6DWv2IA9dm4yeY,https://api.spotify.com/v1/audio-analysis/4C8yVZNQ6DWv2IA9dm4yeY,180576.0,4.0
DECIMATION,Eyez Hate U,137072,drift phonk,0.7,0.975,4.0,-2.659,0.0,0.0356,0.00382,0.427,0.328,0.43,126.011,audio_features,0us6HsfLfz9BpjUw7WeUXv,spotify:track:0us6HsfLfz9BpjUw7WeUXv,https://api.spotify.com/v1/tracks/0us6HsfLfz9BpjUw7WeUXv,https://api.spotify.com/v1/audio-analysis/0us6HsfLfz9BpjUw7WeUXv,137148.0,4.0
DEJA VU,dave rodgers,1922355,super eurobeat,0.558,0.991,5.0,-3.106,0.0,0.0604,0.0214,0.0,0.106,0.775,154.004,audio_features,6CRtIYDga4VKW5sV5rfAL3,spotify:track:6CRtIYDga4VKW5sV5rfAL3,https://api.spotify.com/v1/tracks/6CRtIYDga4VKW5sV5rfAL3,https://api.spotify.com/v1/audio-analysis/6CRtIYDga4VKW5sV5rfAL3,260555.0,4.0
DESIRES,AP Dhillon,202813,desi hip hop,0.863,0.387,5.0,-10.057,0.0,0.256,0.365,0.00238,0.06,0.39,100.013,audio_features,5pcmtf1lwrMqmAWWm248fY,spotify:track:5pcmtf1lwrMqmAWWm248fY,https://api.spotify.com/v1/tracks/5pcmtf1lwrMqmAWWm248fY,https://api.spotify.com/v1/audio-analysis/5pcmtf1lwrMqmAWWm248fY,168000.0,4.0
DEVIL SOUL,Phonk Killer,226118,drift phonk,0.88,0.712,7.0,-4.27,1.0,0.0795,0.145,0.936,0.162,0.615,131.983,audio_features,7t0OaHwReZjPuEBImsRwvX,spotify:track:7t0OaHwReZjPuEBImsRwvX,https://api.spotify.com/v1/tracks/7t0OaHwReZjPuEBImsRwvX,https://api.spotify.com/v1/audio-analysis/7t0OaHwReZjPuEBImsRwvX,113187.0,4.0
DIFFERENT,Boslen,81797,bc underground hip hop,0.641,0.555,8.0,-8.287,0.0,0.184,0.0807,0.0,0.279,0.318,114.009,audio_features,2whetsUWwhM5Jr9yIkay1Q,spotify:track:2whetsUWwhM5Jr9yIkay1Q,https://api.spotify.com/v1/tracks/2whetsUWwhM5Jr9yIkay1Q,https://api.spotify.com/v1/audio-analysis/2whetsUWwhM5Jr9yIkay1Q,137093.0,4.0
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,69777,atl hip hop,0.663,0.861,7.0,-3.398,0.0,0.109,0.0338,0.0,0.082,0.654,119.963,audio_features,4356Typ82hUiFAynbLYbPn,spotify:track:4356Typ82hUiFAynbLYbPn,https://api.spotify.com/v1/tracks/4356Typ82hUiFAynbLYbPn,https://api.spotify.com/v1/audio-analysis/4356Typ82hUiFAynbLYbPn,220800.0,4.0
DNA,Lund,648102,cloud rap,0.754,0.632,9.0,-7.87,1.0,0.0329,0.283,0.0,0.106,0.563,134.959,audio_features,6ax40d2A1qCJ0q6v4usuNG,spotify:track:6ax40d2A1qCJ0q6v4usuNG,https://api.spotify.com/v1/tracks/6ax40d2A1qCJ0q6v4usuNG,https://api.spotify.com/v1/audio-analysis/6ax40d2A1qCJ0q6v4usuNG,160987.0,4.0
DOA,Hiroyuki Sawano,2292,anime score,0.573,0.879,2.0,-4.853,0.0,0.19,0.000176,0.00304,0.349,0.539,137.936,audio_features,3oID0W8xzgfMWD5KFop4xA,spotify:track:3oID0W8xzgfMWD5KFop4xA,https://api.spotify.com/v1/tracks/3oID0W8xzgfMWD5KFop4xA,https://api.spotify.com/v1/audio-analysis/3oID0W8xzgfMWD5KFop4xA,206027.0,4.0
DON'T DANCE,Amber Liu,152372,,,,,,,,,,,,,,,,,,,
DON'T STOP,CURSEDEVIL,129523,,,,,,,,,,,,,,,,,,,
DON'T STOP THE MUSIC - EXTENDED MIX,Lou Grant,228951,,,,,,,,,,,,,,,,,,,
DONE THINKING (feat. Gen Neo & LXX),Amber Liu,55513,,0.761,0.539,11.0,-7.963,1.0,0.0388,0.601,0.0,0.133,0.509,105.952,audio_features,3gy6OvtsXCgMpOKEbNDpd0,spotify:track:3gy6OvtsXCgMpOKEbNDpd0,https://api.spotify.com/v1/tracks/3gy6OvtsXCgMpOKEbNDpd0,https://api.spotify.com/v1/audio-analysis/3gy6OvtsXCgMpOKEbNDpd0,218286.0,4.0
DOWN,blackbear,139473,pop,0.767,0.696,2.0,-3.428,1.0,0.162,0.231,0.0,0.228,0.715,115.006,audio_features,3wMQczkpe5xftuUqkc8dAu,spotify:track:3wMQczkpe5xftuUqkc8dAu,https://api.spotify.com/v1/tracks/3wMQczkpe5xftuUqkc8dAu,https://api.spotify.com/v1/audio-analysis/3wMQczkpe5xftuUqkc8dAu,217564.0,4.0
DRIFT-ZOKU,Sinizter,52054,dark trap,0.765,0.955,9.0,-2.968,1.0,0.283,0.0952,0.000995,0.342,0.448,179.999,audio_features,7lcZ2RYtItU52PmhPUlxBn,spotify:track:7lcZ2RYtItU52PmhPUlxBn,https://api.spotify.com/v1/tracks/7lcZ2RYtItU52PmhPUlxBn,https://api.spotify.com/v1/audio-analysis/7lcZ2RYtItU52PmhPUlxBn,122667.0,4.0
DRUG DEALER,blackbear,166183,pop,0.594,0.462,1.0,-8.677,0.0,0.141,0.00841,0.0,0.13,0.164,78.805,audio_features,3gBnmUHzDUxTSOZGZorlUo,spotify:track:3gBnmUHzDUxTSOZGZorlUo,https://api.spotify.com/v1/tracks/3gBnmUHzDUxTSOZGZorlUo,https://api.spotify.com/v1/audio-analysis/3gBnmUHzDUxTSOZGZorlUo,166219.0,4.0
Daddy Blue,Brad stank,293069,,0.822,0.381,6.0,-11.82,1.0,0.131,0.491,0.00557,0.284,0.691,108.007,audio_features,7dLW8Xafiq7m747c5qO5NM,spotify:track:7dLW8Xafiq7m747c5qO5NM,https://api.spotify.com/v1/tracks/7dLW8Xafiq7m747c5qO5NM,https://api.spotify.com/v1/audio-analysis/7dLW8Xafiq7m747c5qO5NM,146647.0,4.0
Daddy Issues,The Neighbourhood,17401394,modern alternative rock,0.588,0.521,10.0,-9.461,1.0,0.0329,0.0678,0.149,0.123,0.337,85.012,audio_features,5E30LdtzQTGqRvNd7l6kG5,spotify:track:5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/tracks/5E30LdtzQTGqRvNd7l6kG5,https://api.spotify.com/v1/audio-analysis/5E30LdtzQTGqRvNd7l6kG5,260173.0,4.0
Daddy's Got a Gun,My Bad Sister,7908,,0.615,0.759,7.0,-7.04,1.0,0.118,0.00103,2.98e-05,0.571,0.394,139.964,audio_features,4ucrSSejepHrAR3luRcoS8,spotify:track:4ucrSSejepHrAR3luRcoS8,https://api.spotify.com/v1/tracks/4ucrSSejepHrAR3luRcoS8,https://api.spotify.com/v1/audio-analysis/4ucrSSejepHrAR3luRcoS8,161355.0,4.0
Daisy,Ashnikko,1909546,alt z,0.834,0.663,8.0,-6.143,1.0,0.133,0.235,0.0,0.372,0.774,121.876,audio_features,2g1KggY9PKvsoEAOaiz4xx,spotify:track:2g1KggY9PKvsoEAOaiz4xx,https://api.spotify.com/v1/tracks/2g1KggY9PKvsoEAOaiz4xx,https://api.spotify.com/v1/audio-analysis/2g1KggY9PKvsoEAOaiz4xx,146523.0,4.0
Damn Bean,John-Robert,13255155,virginia indie,0.722,0.65,0.0,-8.205,1.0,0.0455,0.14,0.000232,0.357,0.518,127.916,audio_features,3eZReaCGyJoXQvXCN9HuG9,spotify:track:3eZReaCGyJoXQvXCN9HuG9,https://api.spotify.com/v1/tracks/3eZReaCGyJoXQvXCN9HuG9,https://api.spotify.com/v1/audio-analysis/3eZReaCGyJoXQvXCN9HuG9,174854.0,4.0
Dance (A$$),Big Sean,2598220,detroit hip hop,0.787,0.73,11.0,-6.788,0.0,0.35,0.0276,0.00157,0.0828,0.739,159.825,audio_features,3ZAMtgYJFoHwJjFkhkXqKr,spotify:track:3ZAMtgYJFoHwJjFkhkXqKr,https://api.spotify.com/v1/tracks/3ZAMtgYJFoHwJjFkhkXqKr,https://api.spotify.com/v1/audio-analysis/3ZAMtgYJFoHwJjFkhkXqKr,220293.0,4.0
Dance Alone,Boy In Space,20433,alt z,0.61,0.546,2.0,-7.822,1.0,0.0521,0.476,0.0,0.329,0.364,139.768,audio_features,5YjtvxKlR0Cthua31bMUUL,spotify:track:5YjtvxKlR0Cthua31bMUUL,https://api.spotify.com/v1/tracks/5YjtvxKlR0Cthua31bMUUL,https://api.spotify.com/v1/audio-analysis/5YjtvxKlR0Cthua31bMUUL,199606.0,4.0
Dance Through the Party,Zatrix,195406,,0.723,0.525,3.0,-12.891,0.0,0.09,0.098,0.000598,0.273,0.548,159.959,audio_features,6If8uVGALOj86oZfGSzzr8,spotify:track:6If8uVGALOj86oZfGSzzr8,https://api.spotify.com/v1/tracks/6If8uVGALOj86oZfGSzzr8,https://api.spotify.com/v1/audio-analysis/6If8uVGALOj86oZfGSzzr8,195406.0,4.0
Dance in the Dark,Au/Ra,842520,alt z,0.754,0.534,9.0,-8.424,0.0,0.123,0.0721,0.00615,0.218,0.809,149.146,audio_features,3i5jKbMOcBqgnKlx5UyH9d,spotify:track:3i5jKbMOcBqgnKlx5UyH9d,https://api.spotify.com/v1/tracks/3i5jKbMOcBqgnKlx5UyH9d,https://api.spotify.com/v1/audio-analysis/3i5jKbMOcBqgnKlx5UyH9d,178187.0,4.0
Dance of the Falling Roses,Pelicano,369472,lo-fi brasileiro,0.39,0.131,5.0,-19.976,0.0,0.0307,0.956,0.944,0.0908,0.0478,75.697,audio_features,2cSx9A7ryO74N3Stx6IakX,spotify:track:2cSx9A7ryO74N3Stx6IakX,https://api.spotify.com/v1/tracks/2cSx9A7ryO74N3Stx6IakX,https://api.spotify.com/v1/audio-analysis/2cSx9A7ryO74N3Stx6IakX,184737.0,3.0
Dance with Me,CORBAL,5634,lo-fi chill,0.593,0.275,6.0,-15.25,0.0,0.0638,0.816,0.0115,0.108,0.363,114.82,audio_features,55rn9bs7vZBsEK4Y4URraH,spotify:track:55rn9bs7vZBsEK4Y4URraH,https://api.spotify.com/v1/tracks/55rn9bs7vZBsEK4Y4URraH,https://api.spotify.com/v1/audio-analysis/55rn9bs7vZBsEK4Y4URraH,87411.0,4.0
Dance with Me Tonight,Olly Murs,6290659,dance pop,0.672,0.748,11.0,-5.922,0.0,0.0589,0.305,0.0,0.0811,0.964,163.984,audio_features,1FSWSs9CL01RCYxXtm08Rf,spotify:track:1FSWSs9CL01RCYxXtm08Rf,https://api.spotify.com/v1/tracks/1FSWSs9CL01RCYxXtm08Rf,https://api.spotify.com/v1/audio-analysis/1FSWSs9CL01RCYxXtm08Rf,202227.0,4.0
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,245998,chicago house,0.72,0.741,10.0,-6.529,0.0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,audio_features,6WkJ2OK163XXS2oARUC9JM,spotify:track:6WkJ2OK163XXS2oARUC9JM,https://api.spotify.com/v1/tracks/6WkJ2OK163XXS2oARUC9JM,https://api.spotify.com/v1/audio-analysis/6WkJ2OK163XXS2oARUC9JM,198053.0,4.0
Dancin - Krono Remix,Aaron Smith,0,chicago house,0.751,0.727,10.0,-9.789,0.0,0.0304,0.0442,0.0338,0.1,0.28,119.982,audio_features,4IlqQhaxrGPxmg35YcXXuS,spotify:track:4IlqQhaxrGPxmg35YcXXuS,https://api.spotify.com/v1/tracks/4IlqQhaxrGPxmg35YcXXuS,https://api.spotify.com/v1/audio-analysis/4IlqQhaxrGPxmg35YcXXuS,256000.0,4.0
Dancing With A Stranger (with Normani),Sam Smith,604608,pop,0.741,0.52,8.0,-7.513,1.0,0.0656,0.447,1.97e-06,0.222,0.347,102.998,audio_features,3xgT3xIlFGqZjYW9QlhJWp,spotify:track:3xgT3xIlFGqZjYW9QlhJWp,https://api.spotify.com/v1/tracks/3xgT3xIlFGqZjYW9QlhJWp,https://api.spotify.com/v1/audio-analysis/3xgT3xIlFGqZjYW9QlhJWp,171030.0,4.0
Dancing With Your Ghost,Sasha Alex Sloan,18038573,alt z,0.629,0.328,11.0,-8.284,1.0,0.029,0.768,2.5e-05,0.103,0.389,74.953,audio_features,1TQXIltqoZ5XXyfCbAeSQQ,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/tracks/1TQXIltqoZ5XXyfCbAeSQQ,https://api.spotify.com/v1/audio-analysis/1TQXIltqoZ5XXyfCbAeSQQ,197732.0,4.0
Dancing Without Music,BRDGS,7088687,newfoundland indie,0.316,0.237,1.0,-9.25,1.0,0.0353,0.854,8.3e-06,0.117,0.237,93.177,audio_features,35JqhVvhuyBoPLLUY8Klqd,spotify:track:35JqhVvhuyBoPLLUY8Klqd,https://api.spotify.com/v1/tracks/35JqhVvhuyBoPLLUY8Klqd,https://api.spotify.com/v1/audio-analysis/35JqhVvhuyBoPLLUY8Klqd,248033.0,1.0
Dancing in The Light,Souls Extolled,30011,austin rock,0.47,0.757,10.0,-8.157,1.0,0.0367,0.0481,0.235,0.0809,0.268,139.089,audio_features,6plQeF8crKENpFbB42jLp7,spotify:track:6plQeF8crKENpFbB42jLp7,https://api.spotify.com/v1/tracks/6plQeF8crKENpFbB42jLp7,https://api.spotify.com/v1/audio-analysis/6plQeF8crKENpFbB42jLp7,250760.0,4.0
Dandelion's Lullaby,Raimu,123870,anime lo-fi,0.682,0.141,2.0,-19.345,0.0,0.0616,0.801,0.886,0.112,0.109,93.099,audio_features,4TLoYT6uaGydqUQRZ9hlxG,spotify:track:4TLoYT6uaGydqUQRZ9hlxG,https://api.spotify.com/v1/tracks/4TLoYT6uaGydqUQRZ9hlxG,https://api.spotify.com/v1/audio-analysis/4TLoYT6uaGydqUQRZ9hlxG,123871.0,4.0
Dandelions,Ruth B.,577333,alt z,0.609,0.692,1.0,-2.958,1.0,0.0259,0.0157,0.0,0.0864,0.454,116.959,audio_features,2eAvDnpXP5W0cVtiI0PUxV,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,https://api.spotify.com/v1/tracks/2eAvDnpXP5W0cVtiI0PUxV,https://api.spotify.com/v1/audio-analysis/2eAvDnpXP5W0cVtiI0PUxV,233720.0,3.0
Dandelions - slowed + reverb,Ruth B.,9441666,alt z,0.573,0.715,8.0,-3.293,0.0,0.0256,0.0444,0.0,0.0898,0.258,101.699,audio_features,6fhG2KJgwO7CrNflRaRmvp,spotify:track:6fhG2KJgwO7CrNflRaRmvp,https://api.spotify.com/v1/tracks/6fhG2KJgwO7CrNflRaRmvp,https://api.spotify.com/v1/audio-analysis/6fhG2KJgwO7CrNflRaRmvp,268717.0,3.0
Dangerous,Kardinal Offishall,245840,canadian old school hip hop,0.949,0.79,8.0,-5.957,1.0,0.0756,0.00437,0.0,0.0816,0.807,117.002,audio_features,4NOZ35Dhucr6UlVyLOtktd,spotify:track:4NOZ35Dhucr6UlVyLOtktd,https://api.spotify.com/v1/tracks/4NOZ35Dhucr6UlVyLOtktd,https://api.spotify.com/v1/audio-analysis/4NOZ35Dhucr6UlVyLOtktd,246053.0,4.0
Dangerous (feat. blackbear),DeathbyRomy,126442,alt z,0.43,0.626,9.0,-6.219,0.0,0.0491,0.0158,0.0,0.38,0.613,99.702,audio_features,7bw4hAqx7oUwvIFKOn0Acq,spotify:track:7bw4hAqx7oUwvIFKOn0Acq,https://api.spotify.com/v1/tracks/7bw4hAqx7oUwvIFKOn0Acq,https://api.spotify.com/v1/audio-analysis/7bw4hAqx7oUwvIFKOn0Acq,126479.0,4.0
Dangerous Affairs,Inon Zur,132948,epicore,0.623,0.387,2.0,-10.983,0.0,0.0419,0.68,0.613,0.141,0.365,150.047,audio_features,0IXjyCWomNob8V0txFuXXw,spotify:track:0IXjyCWomNob8V0txFuXXw,https://api.spotify.com/v1/tracks/0IXjyCWomNob8V0txFuXXw,https://api.spotify.com/v1/audio-analysis/0IXjyCWomNob8V0txFuXXw,133140.0,4.0
Dangerously,Charlie Puth,2011023,pop,0.696,0.517,2.0,-8.379,0.0,0.0366,0.364,0.0,0.197,0.23,112.291,audio_features,6GBMbvX7sqyOxT5wWK4hgN,spotify:track:6GBMbvX7sqyOxT5wWK4hgN,https://api.spotify.com/v1/tracks/6GBMbvX7sqyOxT5wWK4hgN,https://api.spotify.com/v1/audio-analysis/6GBMbvX7sqyOxT5wWK4hgN,199133.0,3.0
Daniel,Bat For Lashes,251120,art pop,0.593,0.658,8.0,-8.393,0.0,0.0364,0.0118,0.0204,0.137,0.422,135.053,audio_features,5VvsZvy1mwx4teyvI7O9rs,spotify:track:5VvsZvy1mwx4teyvI7O9rs,https://api.spotify.com/v1/tracks/5VvsZvy1mwx4teyvI7O9rs,https://api.spotify.com/v1/audio-analysis/5VvsZvy1mwx4teyvI7O9rs,251120.0,4.0
Danza Kuduro,Don Omar,818446,latin hip hop,0.4,0.915,0.0,-4.89,1.0,0.28,0.0846,0.0,0.0503,0.878,88.917,audio_features,2a1o6ZejUi8U3wzzOtCOYw,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,https://api.spotify.com/v1/tracks/2a1o6ZejUi8U3wzzOtCOYw,https://api.spotify.com/v1/audio-analysis/2a1o6ZejUi8U3wzzOtCOYw,198773.0,3.0
Dard - E - Disco,Sukhwinder Singh,268573,filmi,0.837,0.839,11.0,-5.548,1.0,0.0468,0.0381,0.000193,0.301,0.679,107.025,audio_features,2GTasAZimpxzNgE7aXFifI,spotify:track:2GTasAZimpxzNgE7aXFifI,https://api.spotify.com/v1/tracks/2GTasAZimpxzNgE7aXFifI,https://api.spotify.com/v1/audio-analysis/2GTasAZimpxzNgE7aXFifI,268713.0,4.0
Dard - E - Disco (Remix By Dj Aqeel),Sukhwinder Singh,104486,filmi,0.694,0.959,7.0,-5.635,1.0,0.06,0.0408,0.0825,0.0763,0.77,124.995,audio_features,3L2XWJbcC02LtUqZrQmjdr,spotify:track:3L2XWJbcC02LtUqZrQmjdr,https://api.spotify.com/v1/tracks/3L2XWJbcC02LtUqZrQmjdr,https://api.spotify.com/v1/audio-analysis/3L2XWJbcC02LtUqZrQmjdr,276673.0,4.0
Dard Dilo Ke,Himesh Reshammiya,122198,filmi,0.509,0.617,7.0,-2.233,0.0,0.0249,0.304,7.8e-05,0.164,0.339,86.025,audio_features,5fJ7LMH2yzvlX0HKxbzl6f,spotify:track:5fJ7LMH2yzvlX0HKxbzl6f,https://api.spotify.com/v1/tracks/5fJ7LMH2yzvlX0HKxbzl6f,https://api.spotify.com/v1/audio-analysis/5fJ7LMH2yzvlX0HKxbzl6f,304049.0,4.0
Dard Dilo Ke,Shahid Mallya,28080,filmi,0.587,0.415,7.0,-7.086,0.0,0.027,0.67,1.61e-06,0.142,0.3,86.066,audio_features,3fMbCqlyxx5zKvyicIAGO3,spotify:track:3fMbCqlyxx5zKvyicIAGO3,https://api.spotify.com/v1/tracks/3fMbCqlyxx5zKvyicIAGO3,https://api.spotify.com/v1/audio-analysis/3fMbCqlyxx5zKvyicIAGO3,304274.0,4.0
Dark Horse,Katy Perry,215672,pop,0.647,0.585,6.0,-6.123,1.0,0.0512,0.00314,0.0,0.165,0.353,131.934,audio_features,4jbmgIyjGoXjY01XxatOx6,spotify:track:4jbmgIyjGoXjY01XxatOx6,https://api.spotify.com/v1/tracks/4jbmgIyjGoXjY01XxatOx6,https://api.spotify.com/v1/audio-analysis/4jbmgIyjGoXjY01XxatOx6,215672.0,4.0
Dark Red,Steve Lacy,363479,afrofuturism,0.603,0.784,6.0,-4.023,1.0,0.062,0.446,8.32e-06,0.119,0.769,172.041,audio_features,3EaJDYHA0KnX88JvDhL9oa,spotify:track:3EaJDYHA0KnX88JvDhL9oa,https://api.spotify.com/v1/tracks/3EaJDYHA0KnX88JvDhL9oa,https://api.spotify.com/v1/audio-analysis/3EaJDYHA0KnX88JvDhL9oa,173104.0,4.0
Darker Place,Rachel Chinouriri,168773,uk pop,0.682,0.677,0.0,-7.797,1.0,0.046,0.0955,0.365,0.0557,0.548,114.959,audio_features,55KvkgRT9fqmQxqqPuaRJX,spotify:track:55KvkgRT9fqmQxqqPuaRJX,https://api.spotify.com/v1/tracks/55KvkgRT9fqmQxqqPuaRJX,https://api.spotify.com/v1/audio-analysis/55KvkgRT9fqmQxqqPuaRJX,168189.0,4.0
Darker Than Blue,Andreya Triana,26270,british soul,0.555,0.404,9.0,-10.615,0.0,0.0249,0.684,0.000211,0.125,0.162,89.061,audio_features,6OiHKpitpPFuMH7ZqgdjDP,spotify:track:6OiHKpitpPFuMH7ZqgdjDP,https://api.spotify.com/v1/tracks/6OiHKpitpPFuMH7ZqgdjDP,https://api.spotify.com/v1/audio-analysis/6OiHKpitpPFuMH7ZqgdjDP,223472.0,4.0
Darkest Hour - from the Amazon Original Series PANIC,Tate McRae,952635,alt z,0.625,0.328,9.0,-10.603,0.0,0.0341,0.389,9.27e-05,0.109,0.0902,91.959,audio_features,3gHMshV2IfQAM3YWwKXOlQ,spotify:track:3gHMshV2IfQAM3YWwKXOlQ,https://api.spotify.com/v1/tracks/3gHMshV2IfQAM3YWwKXOlQ,https://api.spotify.com/v1/audio-analysis/3gHMshV2IfQAM3YWwKXOlQ,161252.0,4.0
Daru Badnaam,Param Singh,194457,punjabi pop,0.541,0.676,8.0,-3.893,0.0,0.153,0.442,0.0,0.159,0.845,90.037,audio_features,2TzyJEUfWHGRsk3r6Emvbk,spotify:track:2TzyJEUfWHGRsk3r6Emvbk,https://api.spotify.com/v1/tracks/2TzyJEUfWHGRsk3r6Emvbk,https://api.spotify.com/v1/audio-analysis/2TzyJEUfWHGRsk3r6Emvbk,185333.0,4.0
Daryaa,Ammy Virk,1500,,,,,,,,,,,,,,,,,,,
Dastaan - E - Om Shanti Om,Shaan,3942714,filmi,0.552,0.598,9.0,-6.052,0.0,0.0362,0.479,0.0,0.0806,0.354,135.951,audio_features,4IPzzBnFrGrlijBWY0JDYB,spotify:track:4IPzzBnFrGrlijBWY0JDYB,https://api.spotify.com/v1/tracks/4IPzzBnFrGrlijBWY0JDYB,https://api.spotify.com/v1/audio-analysis/4IPzzBnFrGrlijBWY0JDYB,426499.0,4.0
